Sabor,Descrição,Valor sugerido,Marca
Água de Coco (com pedaços),Paleta artesanal refrescante feita com água de coco natural e pedaços de coco.,"R$ 10,00 - R$ 12,00",Paletuba
Ninho com Nutella,Paleta cremosa de leite Ninho com recheio generoso de creme de avelã.,"R$ 14,00 - R$ 18,00",Paletuba
Maracujá com Leite Condensado,Paleta de maracujá azedinho com recheio cremoso e doce de leite condensado.,"R$ 14,00 - R$ 18,00",Paletuba
Merengue,"Sorvete de chantilly artesanal, geleia de morango e pedaços de suspiro.","R$ 12,00 - R$ 15,00",Paletuba
Limão / Uva / Maracujá,"Picolé tradicional de frutas tropicais à base de água, leve e refrescante.","R$ 5,00 - R$ 6,00",Ky-Sabor
Milho Verde,"Picolé cremoso de massa sabor milho verde, um clássico das praias.","R$ 6,00 - R$ 8,00",Ky-Sabor
Chocolate / Brigadeiro,Picolé cremoso de chocolate ao leite com textura suave.,"R$ 6,00 - R$ 8,00",Ky-Sabor
Frutare Limão / Maracujá,Picolé clássico Kibon feito com suco de fruta natural e base de água.,"R$ 6,00 - R$ 7,50",Kibon
Tablito,Sorvete de baunilha com uma espessa barra de chocolate ao leite no meio e cobertura crocante.,"R$ 9,00 - R$ 11,00",Kibon
Chicabon,O tradicional picolé Kibon com o sabor inconfundível de chocolate maltado.,"R$ 8,50 - R$ 10,00",Kibon
Magnum Clássico / Amêndoas,Picolé premium de baunilha com cobertura crocante de chocolate belga.,"R$ 14,00 - R$ 16,00",Kibon
La Frutta Uva / Morango,Picolé Nestlé refrescante feito com polpa de fruta natural.,"R$ 6,00 - R$ 7,50",Nestlé / Froneri
Mega Clássico,Picolé premium de baunilha cremoso com cobertura grossa de chocolate Nestlé.,"R$ 13,00 - R$ 15,00",Nestlé / Froneri
Sem Parar,Picolé de baunilha e chocolate com recheio líquido de calda de chocolate.,"R$ 9,00 - R$ 11,00",Nestlé / Froneri
